OBJECTID,Join_Count,TARGET_FID,PARCELID,SITEADDRES,OWNERNME1,AGENCY,TOT_APPR,LOWPARCELID,BUILDING,UNIT,STATEDAREA,LGLSTARTDT,CVTTXCD,CVTTXDSCRP,SCHLTXCD,SCHLDSCRP,USECD,USEDSCRP,NGHBRHDCD,CLASSDSCRP,CLASSCD,LIVUNITS,SITEADDRESS,SITECITY,SITESTATE,SITEZIP,PRPRTYDSCRP,CNVYNAME,OWNERNME2,PSTLADDRESS,PSTLADDRESS2,PSTLCITY,PSTLSTATE,PSTLZIP5,PSTLZIP4,FLOORCOUNT,BLDGAREA,RESFLRAREA,RESYRBLT,RESSTRTYP,STRCLASS,CLASSMOD,LNDVALUE,IMPR_APPR,LANDASSESS,IMPRASSESS,LANDAPPR,PRVASSDVAL,CNTASSDVAL,ASSDVALYRCG,ASSDPCNTCG,PRVTXBLVAL,CNTTXBLVAL,TXBLVALYRCHG,TXBLPCNTCHG,PRVWNTTXOD,PRVSMRTXOD,TOTPRVTXTOD,CNTWNTTXOD,CNTSMRTXOD,TOTCNTTXOD,TXODYRCHG,TXODPCNTCHG,WATERSERV,SEWERSERV,LASTUPDATE,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,ORDNAME,ORDLINK,ORDSTATUS,LOWPARCELI,SUBAGENCY,Censustrac,BLKGROUP,BLOCK,NSA,NEIGHBORHO,NPU,COUNCILDIS,OTHERID,STATUS,POTENTIAL_,COMMITTEDT,COMMENTS,Zoningcate,ZONING,ZONINGOVER,INCLUSIONA,ACRES,FLD_ZONE,NOFLD_PERC,NOFLD_AREA,Brownfield,Brownfie_1,Slope_C5_A,Slope_C5_P,ELEM_TOTFR,Park_Dist,Close_Park,Is_Atl_Par,Train_Dist,STATION,Bus_Dist,stop_name,LILATracts,TAD_desc,CID_NAME,GrowthType,CDBGZONEDE,Urb_Displ_,Tree_Can,OppZone_Fe,OppZone_St,OppZ_State,TAX_LIEN_V,HH_Med_Est,HIST_DSTRC,HIST_SITEN,HIST_SITE_,Shape__Are,Shape__Len,PARCELID_A,Viable_Spo,LANDUSECOD,LANDUSEDES,Intersect_,Prop,Vacancy_Fl,Fulton_LUC,Fulton_LU,ClassCode,APSExcess,Active_Park,Active_APS,Greenway,ZONING_CLASSIFICATION,PERCENTAGE,CONCAT,ZONINGCODE,Shape__Area,Shape__Length
1,3,1,15 177 03 027,431 FLAT SHOALS AVE SE,CITY OF ATLANTA,City of Atlanta,428500,15 177 03 027, , ,19776 sq.ft,,61,ATLANTA, , , ,Dekalb, ,E1, ,,431 FLAT SHOALS AVE SE,ATLANTA,GA,30316,, , ,68 MITCHELL ST,,ATLANTA,GA,30303, ,,0,0,0, , , ,0,,,,,0,0,,0,0,0,,,0,0,,0,0,0,0,, , ,2018/05/28 00:00:00+00,,,,,SDE,2018/05/28 00:00:00+00,SDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC-2,100,NC-2 = 100.0%,Neighborhood Commercial District,2664.3984375,212.11578191774
2,9,2,15 238 05 067,0 LAKESHORE DR NE,CITY OF ATLANTA,City of Atlanta,101800,15 238 05 067, , ,29646 sq.ft,,61,ATLANTA, , , ,Dekalb, ,E1, ,,0 LAKESHORE DR NE,ATLANTA,GA,30307,, , ,68 MITCHELL STA SW,,ATLANTA,GA,30303, ,,0,0,0, , , ,0,,,,,0,0,,0,0,0,,,0,0,,0,0,0,0,, , ,2018/05/28 00:00:00+00,,,,,SDE,2018/05/28 00:00:00+00,SDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,3996.46875,255.781346080498
3,4,3,15 239 01 267,601 HAROLD AVE NE,CITY OF ATLANTA,City of Atlanta,105800,15 239 01 267, , ,7494 sq.ft,,61,ATLANTA, , , ,Dekalb, ,E1, ,,601 HAROLD AVE NE,ATLANTA,GA,30307,, , ,68 MITCHELL ST SW,,ATLANTA,GA,30303, ,,0,0,0, , , ,0,,,,,0,0,,0,0,0,,,0,0,,0,0,0,0,, , ,2018/05/28 00:00:00+00,,,,,SDE,2018/05/28 00:00:00+00,SDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,1010.578125,146.645949204617
4,5,4,15 239 01 269,595 HAROLD AVE NE,CITY OF ATLANTA,City of Atlanta,95200,15 239 01 269, , , ,,61,ATLANTA, , , ,Dekalb, ,E1, ,,595 HAROLD AVE NE,ATLANTA,GA,30307,, , ,68 MITCHELL ST SW,,ATLANTA,GA,30303, ,,0,0,0, , , ,0,,,,,0,0,,0,0,0,,,0,0,,0,0,0,0,, , ,2018/05/28 00:00:00+00,,,,,SDE,2018/05/28 00:00:00+00,SDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,1010.05859375,146.636309088785
5,4,5,15 239 01 270,591 HAROLD AVE NE,CITY OF ATLANTA,City of Atlanta,95200,15 239 01 270, , , ,,61,ATLANTA, , , ,Dekalb, ,E1, ,,591 HAROLD AVE NE,ATLANTA,GA,30307,, , ,68 MITCHELL ST SW,,ATLANTA,GA,30303, ,,0,0,0, , , ,0,,,,,0,0,,0,0,0,,,0,0,,0,0,0,0,, , ,2018/05/28 00:00:00+00,,,,,SDE,2018/05/28 00:00:00+00,SDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,1015.765625,146.934805858835
6,12,6,18 055 10 021,1330 EAST ROCK SPRINGS RD NE,CITY OF ATLANTA,City of Atlanta,12500,18 055 10 021, , , ,,61A,ATLANTA-ANNEX, , , ,Dekalb, ,R3, ,,1330 EAST ROCK SPRINGS RD NE,ATLANTA,GA,30306,, , ,55 TRINITY AVE STE 5000,,ATLANTA,GA,30303, ,,0,0,0, , , ,0,,,,,0,5000,,0,0,0,,,0,0,,0,0,0,0,, , ,2018/05/28 00:00:00+00,,,,,SDE,2018/05/28 00:00:00+00,SDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4A,100,R-4A = 100.0%,Single Family Residential,4178.43359375,364.16150310586
7,3,7,17 000900040464,3488 ROXBORO RD NE,CITY OF ATLANTA,City of Atlanta,473700,17 00090004046, , ,,,,,,,,Fulton,,,,1,3488 ROXBORO RD NE,ATLANTA,GA,30326,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,132100,341600,52840,136640,132100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI-12 SA2,100,SPI-12 SA2 = 100.0%,Special Public Interest,2775.625,235.741311909442
8,1,8,17 004800010676,0 PIEDMONT RD NE,CITY OF ATLANTA,City of Atlanta,751800,17 00480001067, , ,,,,,,,,Fulton,,,,0,0 PIEDMONT RD NE,ATLANTA,GA,30324,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,751800,0,300720,0,751800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI-15 SA9,99,"I-1 = 1.0%,SPI-15 SA3 = 0.0%,SPI-15 SA9 = 99.0%",Special Public Interest,1935.8359375,239.008686181838
9,3,9,17 0058  LL0865,0 PEACHTREE HILLS AVE NE,CITY OF ATLANTA,City of Atlanta,165600,17 0058  LL086, , ,,,,,,,,Fulton,,,,0,0 PEACHTREE HILLS AVE NE,ATLANTA,GA,30324,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,165600,0,66240,0,165600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG-2,100,RG-2 = 100.0%,Single Family Residential,1360.47265625,316.208564234279
10,1,10,17 006000050907,0 BRENTWOOD DR NE,CITY OF ATLANTA,City of Atlanta,2523300,17 00600005090, , ,,,,,,,,Fulton,,,,0,0 BRENTWOOD DR NE,ATLANTA,GA,30305,,,,68 MITCHELL ST SW STE 1350,,ATLANTA,GA,30303,,,,,,,,,2523300,0,1009320,0,2523300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,12958.125,592.508470798542
