Address,ZoningCode,Latitude,Longitude,MaxSolarPanels,MaxSolarAreaM2,SunshineHoursPerYear,InstallationCost,AnnualEnergyProductionKWh,AnnualSavings,PaybackPeriodYears
595 HAROLD AVE NE,Single Family Residential,33.770499,-84.3303339,22,43.198208,1656.7733,6600,2747.36,357.15680000000003,18.479278568964666
591 HAROLD AVE NE,Single Family Residential,33.770361,-84.3303339,10,19.635548,1576.3138,3000,1248.8,162.344,18.47927856896467
0 LAKESHORE DR NE,Single Family Residential,33.8159159,-84.3664932,191,375.03897,1565.1273,57300,23852.08,3100.7704000000003,18.479278568964666
601 HAROLD AVE NE,Single Family Residential,33.770636,-84.3303339,22,43.198208,1656.7733,6600,2747.36,357.15680000000003,18.479278568964666
1330 EAST ROCK SPRINGS RD NE,Single Family Residential,33.79556,-84.343763,49,96.21419,1405.466,14700,6119.12,795.4856,18.47927856896467
0 EAST WESLEY RD NE,Single Family Residential,33.8286546,-84.38745899999999,26,51.052425,1427.462,7800,3246.88,422.0944,18.479278568964666
0 PEACHTREE HILLS AVE NE,Single Family Residential,33.818054,-84.3886101,159,312.20523,1529.2167,47700,19855.92,2581.2696,18.479278568964666
320 PINETREE DR NE,Single Family Residential,33.829158,-84.377265,100,196.35548,1032.8019,30000,12488,1623.44,18.479278568964666
0 HABERSHAM RD NW,Single Family Residential,33.8337259,-84.3950375,38,74.61508,1315.1056,11400,4745.44,616.9072,18.479278568964666
2243 HAVENRIDGE DR NW,Single Family Residential,33.8164863,-84.39938339999999,74,145.30305,1514.4901,22200,9241.12,1201.3456,18.479278568964666
2249 HAVENRIDGE DR NW,Single Family Residential,33.8167002,-84.3994589,74,145.30305,1514.4901,22200,9241.12,1201.3456,18.479278568964666
0 WEST WESLEY RD NW,Single Family Residential,33.8283745,-84.38780369999999,35,68.72442,1464.8153,10500,4370.8,568.2040000000001,18.479278568964666
0 KINSEY CT NE,Single Family Residential,33.8155376,-84.3803703,25,49.08887,981.4637,7500,3122,405.86,18.479278568964666
0 SUNBURY PL NW,Single Family Residential,33.8075347,-84.4088601,23,45.161762,1231.841,6900,2872.24,373.39119999999997,18.47927856896467
471 COLLIER RD NW,Single Family Residential,33.8110915,-84.40195899999999,22,43.198208,884.6826,6600,2747.36,357.15680000000003,18.479278568964666
625 MOORES MILL RD NW,Single Family Residential,33.8452121,-84.40767149999999,58,113.886185,1204.3379,17400,7243.04,941.5952,18.479278568964666
0 EDINBORO RD NW,Single Family Residential,33.83565,-84.4093975,45,88.35997,1520.996,13500,5619.6,730.5480000000001,18.479278568964666
0 MEREDITH DR NW,Single Family Residential,33.806467,-84.4047476,6,11.781329,884.6819,1800,749.28,97.4064,18.479278568964666
0 HAVENRIDGE DR NW,Single Family Residential,33.8190527,-84.3998343,64,125.66751,924.4977,19200,7992.32,1039.0016,18.479278568964666
0 ARDMORE RD NW,Single Family Residential,33.8073863,-84.3986046,41,80.50575,1025.7002,12300,5120.08,665.6104,18.479278568964666
0 DELLWOOD DR NW # REAR,Single Family Residential,34.2686004,-85.2128918,126,247.40791,1546.9634,37800,15734.88,2045.5344,18.479278568964666
300 RUMSON RD NE,Single Family Residential,33.82931,-84.377553,79,155.12083,1567.5704,23700,9865.52,1282.5176000000001,18.479278568964666
0 BROOKVIEW DR NW,Single Family Residential,33.8144076,-84.41967,70,137.44884,928.7654,21000,8741.6,1136.4080000000001,18.479278568964666
2970 HOWELL MILL RD NW,Single Family Residential,33.8375239,-84.4208761,70,137.44884,1370.8174,21000,8741.6,1136.4080000000001,18.479278568964666
0 PINE MEADOW RD NW,Single Family Residential,33.8460072,-84.4257788,75,147.26662,1254.957,22500,9366,1217.5800000000002,18.479278568964666
308 PEACHTREE HILLS AVE NE,Single Family Residential,33.8182314,-84.37771169999999,314,616.5562,1465.1102,94200,39212.32,5097.6016,18.479278568964666
0 KINSEY CT NE # REAR,Single Family Residential,33.8155376,-84.3803703,25,49.08887,981.4637,7500,3122,405.86,18.479278568964666
2205 NORTHSIDE DR NW,Single Family Residential,33.8161821,-84.4071713,156,306.31454,1578.6298,46800,19481.28,2532.5664,18.479278568964666
0 NORTHSIDE DR NW,Single Family Residential,33.7547203,-84.4028014,59,115.84974,1534.9318,17700,7367.92,957.8296,18.479278568964666
0 NORTH DECATUR RD NE,Single Family Residential,33.7926182,-84.2876304,40,78.54219,1573.3506,12000,4995.2,649.376,18.47927856896467
647 MOORES MILL RD NW,Single Family Residential,33.8444835,-84.40893899999999,541,1062.2832,1648.5879,162300,67560.08,8782.8104,18.479278568964666
0 NORTH DECATUR RD NE,Single Family Residential,33.7926182,-84.2876304,40,78.54219,1573.3506,12000,4995.2,649.376,18.47927856896467
0 COLLIER RD NW,Single Family Residential,33.8071345,-84.39472289999999,184,361.2941,1589.5404,55200,22977.92,2987.1295999999998,18.47927856896467
0 NORTH HIGHLAND AVE,Single Family Residential,39.2926821,-76.5696971,13,25.526213,1446,3900,1623.44,211.0472,18.479278568964666
3552 ROCKHAVEN CIR NE,Single Family Residential,33.8481066,-84.3516439,81,159.04794,1579.6699,24300,10115.28,1314.9864000000002,18.479278568964663
0 BERKSHIRE RD NE,Single Family Residential,40.6556358,-73.5618932,27,53.01598,1399,8100,3371.76,438.32880000000006,18.479278568964666
0 NORTH PELHAM RD NE # R,Single Family Residential,33.8002982,-84.3610411,33,64.79731,974.00684,9900,4121.04,535.7352,18.47927856896467
1502 MONROE DR NE,Single Family Residential,33.795458,-84.367966,11,21.599104,1087.0052,3300,1373.68,178.57840000000002,18.479278568964666
2183 ARMAND RD NE,Single Family Residential,33.814511,-84.35946799999999,18,35.343987,1092.8029,5400,2247.84,292.2192,18.479278568964666
0 ARMAND RD NE # REAR,Single Family Residential,33.817517,-84.3594924,46,90.323524,1100.6854,13800,5744.48,746.7823999999999,18.47927856896467
0 ELKMONT DR NE,Single Family Residential,33.7860661,-84.3639774,69,135.48529,1510.9385,20700,8616.72,1120.1735999999999,18.47927856896467
0 DUTCH VALLEY RD NE,Single Family Residential,40.1439354,-74.2089526,74,145.30305,1256.0764,22200,9241.12,1201.3456,18.479278568964666
0 CUMBERLAND RD NE,Single Family Residential,41.5541737,-73.87099169999999,61,119.77685,1442.0052,18300,7617.68,990.2984,18.479278568964666
1290 EVELYN ST NE,Single Family Residential,33.78976919999999,-84.36889579999999,57,111.92263,1651.0846,17100,7118.16,925.3608,18.479278568964666
0 EVELYN ST NE,Single Family Residential,33.789721,-84.3700192,38,74.61508,1466.6979,11400,4745.44,616.9072,18.479278568964666
1314 MONROE DR NE,Single Family Residential,33.790573,-84.367519,22,43.198208,1089.0278,6600,2747.36,357.15680000000003,18.479278568964666
0 EAST PARK LN NE,Single Family Residential,33.7933675,-84.3743065,79,155.12083,1597.7087,23700,9865.52,1282.5176000000001,18.479278568964666
0 WELLBOURNE DR NE,Single Family Residential,33.8064555,-84.3601076,76,149.23016,1533.8455,22800,9490.88,1233.8144,18.479278568964666
1950 MONROE DR NE,Multi-Family Residential,33.8080643,-84.3753905,434,852.1828,1541.2966,130200,54197.92,7045.7296,18.47927856896467
0 MADDOX DR NE,Single Family Residential,33.7950902,-84.3786911,41,80.50575,1307.6982,12300,5120.08,665.6104,18.479278568964666
0 LENOX RD NE,Single Family Residential,33.8274389,-84.3546728,48,94.25063,1579.2177,14400,5994.24,779.2512,18.479278568964666
1506 MONROE DR NE,Single Family Residential,33.795584,-84.368095,22,43.198208,1623.222,6600,2747.36,357.15680000000003,18.479278568964666
0 WESTMINSTER DR NE,Single Family Residential,33.7906602,-84.3828968,106,208.13681,1592.8042,31800,13237.28,1720.8464000000001,18.479278568964666
0 BARKSDALE DR NE,Single Family Residential,33.7900622,-84.3793795,71,139.4124,1477.5248,21300,8866.48,1152.6424,18.47927856896467
586 WORCHESTER DR NE,Single Family Residential,33.7911519,-84.36798499999999,58,113.886185,1659.6902,17400,7243.04,941.5952,18.479278568964666
0 LENOX RD NE,Single Family Residential,33.8274389,-84.3546728,48,94.25063,1579.2177,14400,5994.24,779.2512,18.479278568964666
0 LENOX RD NE,Single Family Residential,33.8274389,-84.3546728,48,94.25063,1579.2177,14400,5994.24,779.2512,18.479278568964666
2001 WILDWOOD RD NE,Single Family Residential,33.803083,-84.35108369999999,58,113.886185,1534.2255,17400,7243.04,941.5952,18.479278568964666
0 LANIER BLV NE # REAR,Single Family Residential,33.786899,-84.3499413,50,98.17774,1583.2029,15000,6244,811.72,18.479278568964666
0 FIFTEENTH ST NE,Single Family Residential,38.8901094,-76.98385999999999,33,64.79731,1453.8711,9900,4121.04,535.7352,18.47927856896467
2366 ARMAND RD NE,Single Family Residential,33.8196403,-84.3584077,30,58.906647,1444.4968,9000,3746.4,487.03200000000004,18.479278568964666
2372 ARMAND RD NE,Single Family Residential,33.8198257,-84.3584202,30,58.906647,1444.4968,9000,3746.4,487.03200000000004,18.479278568964666
0 CARDOVA DR NE,Single Family Residential,33.8167042,-84.3579726,71,139.4124,1450.7826,21300,8866.48,1152.6424,18.47927856896467
600 EVELYN ST NE,Single Family Residential,33.7909284,-84.3695352,7,13.7448845,1587.8687,2100,874.16,113.6408,18.479278568964666
1290 EVELYN ST NE,Single Family Residential,33.78976919999999,-84.36889579999999,57,111.92263,1651.0846,17100,7118.16,925.3608,18.479278568964666
1491 PIEDMONT AVE NE,Single Family Residential,33.7957826,-84.37012659999999,304,596.92065,1562.0632,91200,37963.52,4935.2576,18.479278568964666
1510 MONROE DR NE,Single Family Residential,33.795726,-84.368212,22,43.198208,1623.222,6600,2747.36,357.15680000000003,18.479278568964666
0 SHADY VALLEY DR NE,Single Family Residential,38.68771539999999,-90.50818269999999,18,35.343987,1269.1288,5400,2247.84,292.2192,18.479278568964666
1345 PIEDMONT AVE NE,Single Family Residential,33.7899524,-84.37261819999999,163,320.05945,1464.5111,48900,20355.44,2646.2072,18.47927856896467
1345 PIEDMONT AVE NE,Single Family Residential,33.7899524,-84.37261819999999,163,320.05945,1464.5111,48900,20355.44,2646.2072,18.47927856896467
0 WEST WIEUCA RD NW,Single Family Residential,33.877076,-84.3874167,15,29.453323,1411.9609,4500,1873.2,243.51600000000002,18.479278568964666
4001 POWERS FERRY RD NW,Single Family Residential,33.86638720000001,-84.38939099999999,80,157.08438,1472.874,24000,9990.4,1298.752,18.47927856896467
0 POWERS FERRY RD NW,Single Family Residential,33.8934858,-84.4093803,61,119.77685,1107.1333,18300,7617.68,990.2984,18.479278568964666
4191 NORTHSIDE DR NW,Single Family Residential,33.8696748,-84.4064884,971,1906.6118,1528.1552,291300,121258.48,15763.6024,18.479278568964666
0 HILLSIDE DR NW,Single Family Residential,41.9881192,-91.7134027,47,92.28708,1346,14100,5869.36,763.0168,18.479278568964666
0 CAVE RD NW,Single Family Residential,33.8630946,-84.4346992,32,62.833755,1141.9556,9600,3996.16,519.5008,18.479278568964666
0 ROSWELL RD NE,Single Family Residential,33.9104008,-84.3711812,125,245.44435,1532.8177,37500,15610,2029.3000000000002,18.479278568964666
